总价,单价,地区,名称,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房管局核验码
47.0,4839,汉南 汉南其它 四环外,新长江香榭澜溪二期,3室2厅1厨1卫,高楼层 (共34层),97.13㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯四户,有,暂无数据,2023-11-22,商品房,2019-01-07,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,20230515pAB2s
80.0,6186,汉南 汉南其它 四环外,碧桂园凤凰湾,4室2厅1厨2卫,中楼层 (共24层),129.33㎡,平层,暂无数据,板楼,东南,钢混结构,其他,两梯四户,有,暂无数据,2023-09-27,商品房,2021-11-11,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20230702X8CgH
55.0,5323,汉南 汉南其它 四环外,碧桂园凤凰湾,3室2厅1厨1卫,高楼层 (共27层),103.34㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-13,商品房,2020-12-15,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20201228ZQ108
65.0,6649,汉南 汉南其它 ,绿地城北岛左岸,3室1厅1厨1卫,高楼层 (共7层),97.77㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-20,商品房,2021-07-08,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20231121QCMtQ
38.0,3857,汉南 汉南其它 ,碧霞轩9号,2室2厅1厨1卫,中楼层 (共7层),98.54㎡,平层,87.27㎡,暂无数据,南 北,钢混结构,精装,暂无数据,无,暂无数据,2023-11-24,商品房,2012-06-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20200512XKaQ3
159.0,7632,汉南 汉南其它 ,峰悦,5室2厅1厨4卫,低楼层 (共3层),208.35㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-02,商品房,2018-04-17,普通住宅,满五年,共有,"
                                有抵押 50万元 中国银行 业主自还
                              ",已上传房本照片,20200102ZIEgb
63.0,5812,汉南 汉南其它 四环外,星悦湾,3室1厅1厨2卫,低楼层 (共28层),108.4㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-11-19,商品房,2021-11-11,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20231119OIBa6
46.0,5235,汉南 汉南其它 ,绿地城协子河畔A,3室2厅1厨1卫,中楼层 (共34层),87.88㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-10,商品房,2020-01-01,普通住宅,满两年,非共有,"
                                有抵押 30万元 建设银行 业主自还
                              ",已上传房本照片,20231227osgQt
53.6,5436,汉南 汉南其它 四环外,东庭郡园,3室2厅1厨1卫,高楼层 (共16层),98.62㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯三户,有,暂无数据,2024-01-13,商品房,2021-01-29,普通住宅,满两年,非共有,"
                                有抵押 21万元 工行蔡甸支行 业主自还
                              ",已上传房本照片,20240114n0rFR
60.0,5547,汉南 汉南其它 四环外,新城庭瑞君悦观澜,3室1厅1厨2卫,高楼层 (共34层),108.17㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-07,商品房,2023-04-03,普通住宅,未满两年,共有,"
                                有抵押 48万元 工行 客户偿还
                              ",已上传房本照片,	20230407kxDbJ
65.0,5566,汉南 汉南其它 四环外,兰亭风华,3室2厅1厨2卫,高楼层 (共31层),116.79㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-11-11,商品房,2021-11-04,普通住宅,满两年,非共有,"
                                有抵押 65万元 公积金
                              ",已上传房本照片,20211206Hh8v4
73.0,5359,汉南 汉南其它 ,绿地城北岛孝贤坊,4室1厅1厨2卫,低楼层 (共11层),136.24㎡,平层,112.38㎡,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-16,商品房,2021-11-07,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20221109yTcrU
60.0,4339,汉南 汉南其它 四环外,御景华府,3室2厅1厨2卫,低楼层 (共11层),138.29㎡,平层,暂无数据,暂无数据,南 北,钢混结构,其他,暂无数据,暂无数据,暂无数据,2021-06-23,商品房,2018-03-29,普通住宅,满五年,非共有,"
                                有抵押 65万元
                              ",已上传房本照片,20210105VCHVd
68.0,5333,汉南 汉南其它 四环外,汉南天地,3室1厅1厨2卫,低楼层 (共33层),127.52㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-30,商品房,2020-04-22,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20200514PlrSo
68.0,5245,汉南 汉南其它 四环外,汉南天地,3室1厅1厨2卫,低楼层 (共33层),129.67㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-30,商品房,2020-04-22,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20200514FccA2
