总价,单价,地区,名称,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房管局核验码
66.0,7064,黄陂 汉口北 三至四环,卓尔生活城,3室2厅1厨1卫,中楼层 (共18层),93.44㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-10-30,商品房,2023-08-17,普通住宅,未满两年,共有,"
                                有抵押 50万元
                              ",已上传房本照片,20231031gOxWW
53.0,7228,黄陂 盘龙城 三至四环,汉飞洋房印象,2室2厅1厨1卫,低楼层 (共7层),73.33㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,有,暂无数据,2023-08-20,商品房,2017-10-20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20210324hQtlu
69.0,7680,黄陂 盘龙城 三至四环,鼎鑫摩卡小镇,2室2厅1厨1卫,中楼层 (共6层),89.85㎡,平层,79.7㎡,板楼,南 北,钢混结构,精装,一梯两户,有,暂无数据,2023-11-20,商品房,2015-07-21,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20230312B19ql
68.0,6833,黄陂 黄陂其它 三至四环,北辰蔚蓝城市,3室2厅1厨2卫,高楼层 (共15层),99.52㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-02,商品房,2021-05-08,普通住宅,满两年,非共有,"
                                有抵押 50万元 业主自还
                              ",已上传房本照片,20230614dHPUw
43.0,7736,黄陂 盘龙城 三至四环,龙城.天居园,1室1厅1厨1卫,高楼层 (共6层),55.59㎡,平层,49.03㎡,塔楼,南,钢混结构,简装,暂无数据,无,暂无数据,2023-11-20,商品房,2010-07-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,202311203L4h3
78.0,6889,黄陂 盘龙城 三至四环,巢上城锦园,3室1厅1厨2卫,低楼层 (共28层),113.24㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-15,商品房,2016-05-30,普通住宅,满五年,共有,"
                                有抵押 47万元 工行 客户偿还
                              ",已上传房本照片,20230414eshkC
70.0,6391,黄陂 盘龙城 三至四环,恒大龙城,3室2厅1厨1卫,低楼层 (共12层),109.54㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯四户,有,暂无数据,2023-11-21,商品房,2022-07-11,普通住宅,未满两年,非共有,"
                                有抵押 25万元
                              ",已上传房本照片,20231123hnUlC
66.0,6757,黄陂 武湖 三至四环,东方城,3室2厅1厨1卫,低楼层 (共27层),97.69㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-10-31,商品房,2019-11-02,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20231109AmFkh
76.0,7076,黄陂 黄陂其它 三至四环,中南拂晓城,3室2厅1厨2卫,中楼层 (共16层),107.41㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,暂无数据,2023-09-04,商品房,2021-07-01,普通住宅,满两年,非共有,"
                                有抵押 65万元 金融公司垫资
                              ",已上传房本照片,20230829Si9x5
80.0,6838,黄陂 盘龙城 ,龙城花园,3室2厅1厨1卫,高楼层 (共17层),117㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-11-14,商品房,2008-01-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20231115YrwN9
