总价,单价,地区,名称,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房管局核验码
65.0,9003,江汉 杨汊湖 二至三环,富康花园,2室1厅1厨1卫,中楼层 (共7层),72.2㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,无,暂无数据,2023-06-26,商品房,2021-06-23,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,202103267SQOl
120.0,11857,江汉 前进江汉 一至二环,汉来广场,3室1厅1厨1卫,低楼层 (共19层),101.21㎡,平层,暂无数据,塔楼,东,混合结构,精装,两梯十八户,有,暂无数据,2021-08-04,商品房,2017-08-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20200114bkBOT
110.0,15206,江汉 长港路 二至三环,顶琇国际公馆,2室1厅1厨1卫,低楼层 (共42层),72.34㎡,平层,暂无数据,塔楼,南,钢混结构,简装,三梯六户,有,暂无数据,2023-05-28,商品房,2018-09-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20200711po7PQ	
91.0,11805,江汉 长港路 二至三环,福星城南区,2室2厅1厨1卫,高楼层 (共45层),77.09㎡,平层,54.56㎡,板塔结合,南 东南,钢混结构,简装,四梯九户,有,暂无数据,2023-10-19,商品房,2016-04-12,普通住宅,满五年,非共有,"
                                有抵押 30万元 有60万抵押 客户偿还
                              ",已上传房本照片,20230724XHj3C
120.0,15063,江汉 唐家墩 二至三环,顶琇国际城,2室2厅1厨1卫,低楼层 (共48层),79.67㎡,平层,暂无数据,板塔结合,东南,钢混结构,其他,三梯六户,有,暂无数据,2023-10-06,商品房,2018-10-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20211210fhUHY
115.0,11605,江汉 前进江汉 一环内,御庭园,2室2厅1厨1卫,高楼层 (共26层),99.1㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,三梯二十一户,有,暂无数据,2023-10-01,商品房,2002-07-31,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20231001uEdPA
95.0,13875,江汉 杨汊湖 二至三环,福星华府誉境,2室2厅1厨1卫,高楼层 (共34层),68.47㎡,平层,暂无数据,塔楼,西南,钢混结构,毛坯,三梯七户,有,暂无数据,2023-05-24,商品房,2020-09-16,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20230527hVhaF
115.0,12942,江汉 唐家墩 一至二环,蓝色天际,2室2厅1厨1卫,低楼层 (共6层),88.86㎡,平层,77.86㎡,板楼,南 北,钢混结构,简装,暂无数据,无,暂无数据,2023-09-22,商品房,2015-01-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,202008123YYUU
108.0,11732,江汉 常青路 一至二环,香缇美景,2室2厅1厨1卫,中楼层 (共11层),92.06㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,暂无数据,2023-06-12,经济适用房,2020-08-27,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230612G4pr1
65.0,9033,江汉 杨汊湖 二至三环,富康花园,2室2厅1厨1卫,中楼层 (共7层),71.96㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,无,暂无数据,2023-10-27,商品房,2003-03-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,2023110857hNB
