总价,单价,地区,名称,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房管局核验码
87.0,14847,硚口 宝丰崇仁 ,中山大道7号,2室1厅1厨1卫,低楼层 (共6层),58.6㎡,平层,暂无数据,暂无数据,南,混合结构,精装,暂无数据,无,暂无数据,2023-11-10,商品房,2001-01-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20231110SbSFI
88.0,14268,硚口 长丰常码头 ,丰竹园,2室2厅1厨1卫,中楼层 (共7层),61.68㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,暂无数据,暂无数据,2023-10-06,商品房,2018-07-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20231006ls6ED
83.0,9770,硚口 古田 ,古田帝园,3室1厅1厨1卫,高楼层 (共17层),84.96㎡,平层,暂无数据,塔楼,南,钢混结构,其他,两梯四户,有,暂无数据,2021-08-11,商品房,2012-11-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20210801yFPph
86.0,11363,硚口 古田 ,中民·幸福里,2室2厅1厨1卫,高楼层 (共27层),75.69㎡,平层,63㎡,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2021-11-18,拆迁还建房,2019-12-03,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20211208FNsai
53.0,9605,硚口 汉正街 二至三环,多福大厦,1室1厅1厨1卫,高楼层 (共27层),55.18㎡,平层,暂无数据,塔楼,东南,钢混结构,其他,三梯十二户,有,暂无数据,2023-10-06,房改房,2020-10-06,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20231006Qi2Xt
76.0,10221,硚口 古田 二至三环,建荣嘉园,2室1厅1厨1卫,低楼层 (共30层),74.36㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯五户,有,暂无数据,2023-05-27,拆迁还建房,2022-03-22,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,202209131wDO4
62.0,7628,硚口 长丰常码头 一至二环,华生汉口城市广场北区,2室2厅1厨1卫,中楼层 (共16层),81.29㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-12-26,拆迁还建房,2019-07-12,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20221226xSDtF
90.0,15275,硚口 宗关 一至二环,时代新世界,1室1厅1厨1卫,低楼层 (共44层),58.92㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,四梯九户,有,暂无数据,2022-05-22,商品房,2020-11-06,普通住宅,满两年,非共有,"
                                有抵押 80万元 有抵押 业主自还
                              ",已上传房本照片,20220217V6K5u
70.0,8089,硚口 长丰常码头 一至二环,华生汉口城市广场,3室2厅1厨1卫,低楼层 (共9层),86.54㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯四户,有,暂无数据,2023-06-18,拆迁还建房,2017-06-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230618QjRNa
60.0,10196,硚口 宝丰崇仁 一至二环,营房南村,2室1厅1厨1卫,低楼层 (共9层),58.85㎡,平层,50.04㎡,塔楼,东,钢混结构,其他,暂无数据,无,暂无数据,2023-04-05,商品房,2010-02-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230406V98Fw
49.5,11382,硚口 古田 ,东源小区,1室1厅1厨1卫,低楼层 (共15层),43.49㎡,平层,暂无数据,塔楼,北,钢混结构,其他,一梯五户,有,暂无数据,2023-11-25,经济适用房,2018-07-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,202311216GKgv
80.0,9182,硚口 古田 ,汉口人家,2室2厅1厨1卫,中楼层 (共6层),87.13㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,无,暂无数据,2022-10-09,商品房,2020-06-15,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20220802p9BLX
58.0,15835,硚口 武广万松园 一至二环,利北二村,1室1厅1厨1卫,低楼层 (共7层),36.63㎡,平层,31.23㎡,塔楼,南,混合结构,其他,暂无数据,无,暂无数据,2023-11-16,商品房,2010-06-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20231101hwbW7
31.0,10916,硚口 汉正街 ,华贸大楼,1室0厅1厨1卫,中楼层 (共10层),28.4㎡,平层,23.88㎡,板楼,西,钢混结构,精装,三梯五户,有,暂无数据,2023-10-24,房改房,2016-10-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20231025vkSmO
88.0,9189,硚口 古田 ,东源小区,2室2厅1厨1卫,低楼层 (共13层),95.77㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯两户,有,暂无数据,2023-03-26,集资房,2018-09-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20230326jvcuv
23.0,12261,硚口 古田 二至三环,弘鑫花园,1室0厅0厨1卫,低楼层 (共8层),18.76㎡,平层,暂无数据,板楼,北,钢混结构,其他,暂无数据,无,暂无数据,2023-11-25,商品房,2017-08-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20231127lxWEU
38.0,13650,硚口 汉正街 一环内,财源大厦,1室0厅1厨1卫,低楼层 (共9层),27.84㎡,平层,暂无数据,塔楼,南,钢混结构,其他,两梯十九户,有,暂无数据,2023-11-13,商品房,2016-10-11,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,20200117DP122
65.0,12035,硚口 宝丰崇仁 一至二环,建乐小区,2室1厅1厨1卫,中楼层 (共7层),54.01㎡,平层,暂无数据,板楼,东南 南,混合结构,简装,暂无数据,无,暂无数据,2023-05-31,商品房,2005-11-03,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20230601u0YsA
77.8,12470,硚口 汉正街 二至三环,多福大厦,2室1厅1厨1卫,高楼层 (共27层),62.39㎡,平层,暂无数据,塔楼,东,钢混结构,精装,三梯十二户,有,暂无数据,2023-11-24,商品房,2021-10-16,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,2023050497HPx
88.0,10115,硚口 古田 二至三环,电建澋悦苑,2室2厅1厨1卫,中楼层 (共21层),87㎡,平层,87㎡,板楼,南,钢混结构,毛坯,四梯十一户,有,暂无数据,2023-10-15,房改房,2021-05-15,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20231015DtkZX
82.0,7911,硚口 长丰常码头 二至三环,团结佳兴园,3室2厅1厨1卫,低楼层 (共32层),103.66㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-07-01,商品房,2022-04-08,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20220719kmxnl
67.0,11479,硚口 集贤 二至三环,丽景苑,2室1厅1厨1卫,中楼层 (共23层),58.37㎡,平层,暂无数据,塔楼,西,钢混结构,简装,三梯十一户,有,暂无数据,2023-04-24,商品房,2019-04-24,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20210821VnQ7P
45.0,5936,硚口 长丰常码头 二至三环,天顺园二村,2室1厅1厨1卫,高楼层 (共7层),75.81㎡,平层,暂无数据,板楼,南,混合结构,简装,暂无数据,无,暂无数据,2023-05-31,商品房,2016-05-05,普通住宅,满五年,共有,"
                                有抵押 20万元 平安银行
                              ",已上传房本照片,20210905wc1P4
70.0,10219,硚口 古田 二至三环,古田五路1到5号,2室1厅1厨1卫,中楼层 (共6层),68.5㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,无,暂无数据,2023-05-19,商品房,2023-05-24,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230706EBBYC
88.0,13192,硚口 古田 二至三环,广电兰亭荣荟,2室1厅1厨1卫,低楼层 (共33层),66.71㎡,平层,60㎡,板楼,南,钢混结构,毛坯,三梯六户,有,暂无数据,2022-05-26,商品房,2020-05-26,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20220526t9Qp3
58.0,8918,硚口 集贤 ,利济社区(汉正街),2室1厅1厨1卫,高楼层 (共9层),65.04㎡,平层,暂无数据,板楼,西南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-17,商品房,2023-11-17,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20231117laQUO
95.0,10948,硚口 古田 二至三环,香港映象,2室1厅1厨1卫,中楼层 (共26层),86.78㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯十二户,有,暂无数据,2023-04-21,商品房,2011-11-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20230505TcxwJ
60.0,12109,硚口 宝丰崇仁 二至三环,中环新天地,1室1厅1厨1卫,低楼层 (共28层),49.55㎡,复式,暂无数据,塔楼,东,钢混结构,精装,四梯二十四户,有,暂无数据,2021-10-20,商品房,2021-08-30,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20220420UAosK
69.0,9462,硚口 长丰常码头 ,紫润明园北区,2室1厅1厨1卫,中楼层 (共11层),72.93㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯四户,有,暂无数据,2023-02-10,经济适用房,2020-06-13,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20201122pepEA
50.0,8648,硚口 汉正街 ,石码正巷95号,1室1厅1厨1卫,低楼层 (共15层),57.82㎡,平层,42.34㎡,板楼,东南,钢混结构,简装,两梯三十三户,有,暂无数据,2023-04-12,拆迁还建房,2023-04-07,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,20230412WIStM
99.0,11778,硚口 古田 二至三环,东方花城,2室2厅1厨1卫,中楼层 (共6层),84.06㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,无,暂无数据,2023-09-26,商品房,2023-06-06,普通住宅,未满两年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片,20230926OaEF1
40.0,6439,硚口 古田 一环内,古南社区,2室1厅1厨1卫,中楼层 (共8层),62.13㎡,平层,暂无数据,塔楼,南,混合结构,简装,暂无数据,无,暂无数据,2023-11-25,商品房,2023-01-01,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20231125CZcJn
61.0,8937,硚口 古田 ,红星佳苑,2室1厅1厨1卫,高楼层 (共34层),68.26㎡,平层,暂无数据,板楼,北,钢混结构,简装,两梯六户,有,暂无数据,2023-11-06,拆迁还建房,2023-09-06,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20231107G9WYq
58.0,8003,硚口 古田 一环内,古南社区,2室1厅1厨1卫,中楼层 (共7层),72.48㎡,平层,暂无数据,塔楼,东 南,钢混结构,简装,暂无数据,无,暂无数据,2023-12-16,商品房,2006-07-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20210314tXmNN
85.0,9382,硚口 古田 ,汉口人家,2室1厅1厨1卫,中楼层 (共6层),90.6㎡,平层,暂无数据,板楼,南,混合结构,简装,暂无数据,无,暂无数据,2023-12-28,商品房,2020-01-01,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20231226DmN4I
69.0,8334,硚口 长丰常码头 ,馨竹苑,2室1厅1厨1卫,高楼层 (共9层),82.8㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-12-06,商品房,2016-05-25,普通住宅,满五年,非共有,"
                                有抵押 40万元 平安银行
                              ",已上传房本照片,202305241Ju7E
57.0,7981,硚口 长丰常码头 ,常码头449号,2室2厅1厨1卫,中楼层 (共7层),71.42㎡,平层,暂无数据,暂无数据,东南,混合结构,简装,暂无数据,暂无数据,暂无数据,2024-01-06,私产,2006-12-21,普通住宅,满五年,非共有,"
                                有抵押 24万元 金融公司垫资
                              ",已上传房本照片,20231103LKkba
66.9,8614,硚口 长丰常码头 一至二环,华生汉口城市广场,2室1厅1厨1卫,中楼层 (共8层),77.67㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯四户,有,暂无数据,2023-06-05,动迁安置房,2023-06-02,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20231208fCYyy
83.0,10348,硚口 古田 ,汉口西园,2室1厅1厨1卫,中楼层 (共14层),80.21㎡,平层,暂无数据,塔楼,南,钢混结构,其他,两梯八户,有,暂无数据,2023-12-29,商品房,2015-12-09,普通住宅,满五年,非共有,"
                                有抵押 70万元 工商银行 金融公司垫资
                              ",已上传房本照片,202112127AQ47
90.0,13819,硚口 古田 二至三环,广电兰亭荣荟,2室1厅1厨1卫,高楼层 (共33层),65.13㎡,平层,暂无数据,板楼,东南,钢混结构,精装,三梯六户,有,暂无数据,2023-12-04,商品房,2023-12-01,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,202312045bIPy
68.0,12661,硚口 集贤 一至二环,幸乐社区,2室1厅1厨1卫,高楼层 (共7层),53.71㎡,平层,暂无数据,板楼,东南,钢混结构,简装,暂无数据,无,暂无数据,2023-12-28,商品房,1998-12-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220828sXoTg
98.0,11040,硚口 集贤 一至二环,汉华花园,3室1厅1厨1卫,中楼层 (共19层),88.77㎡,平层,暂无数据,板塔结合,东北,钢混结构,简装,两梯二十七户,有,暂无数据,2023-12-11,商品房,2000-08-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230314ZCYQG
78.0,12519,硚口 宗关 ,都市申新花园,2室2厅1厨1卫,低楼层 (共31层),62.31㎡,平层,暂无数据,板楼,南 西,框架结构,毛坯,两梯六户,有,暂无数据,2024-01-01,商品房,2024-01-04,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20240104M9M6w
85.1,11871,硚口 汉正街 二至三环,多福大厦,2室2厅1厨1卫,中楼层 (共27层),71.69㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯十二户,有,暂无数据,2023-12-20,房改房,2023-05-19,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,20230523cAtVG
85.0,9254,硚口 古田 ,飞帆小区,3室1厅1厨1卫,低楼层 (共7层),91.86㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,暂无数据,暂无数据,2024-01-14,商品房,2019-03-21,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,202401141Rh1E
