总价,单价,地区,名称,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房管局核验码
124.0,9864,青山 青山 三至四环,绿地香树花城,3室2厅1厨2卫,低楼层 (共33层),125.71㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯五户,有,暂无数据,2023-10-11,商品房,2017-10-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20231011ovvA8
150.0,16360,青山 青山 二至三环,大华滨江天地,3室2厅1厨1卫,高楼层 (共34层),91.69㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯五户,有,暂无数据,2021-12-14,商品房,2019-03-04,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20220526ovNXQ
125.0,12049,青山 青山 ,钢都花园123街坊,3室2厅1厨1卫,中楼层 (共8层),103.75㎡,平层,103.75㎡,板楼,东南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-04-13,商品房,2002-01-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230413uYRcd
58.0,9586,青山 青山 三至四环,青宜居一期,2室1厅1厨1卫,低楼层 (共18层),60.51㎡,平层,49.08㎡,塔楼,南,钢混结构,简装,两梯四户,有,暂无数据,2023-07-18,拆迁还建房,2012-08-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20201119ys0PW
125.0,14779,青山 青山 二至三环,中交江锦湾,2室1厅1厨1卫,高楼层 (共31层),84.58㎡,平层,暂无数据,板塔结合,西南,钢混结构,精装,两梯六户,有,暂无数据,2023-06-18,限价商品房,2017-08-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20230624aXOBp	
165.0,18977,青山 青山 二至三环,大华锦绣时代,3室1厅1厨1卫,中楼层 (共34层),86.95㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,五梯九户,有,暂无数据,2023-11-08,商品房,2021-03-25,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20210823AVquK
115.0,11932,青山 青山 ,怡江苑,2室2厅1厨1卫,高楼层 (共34层),96.38㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2023-08-18,拆迁还建房,2020-11-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230903SLvGT
53.0,5846,青山 洪山其它 ,重工小区B区,3室2厅1厨1卫,高楼层 (共11层),90.67㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯三户,有,暂无数据,2023-02-21,经济适用房,2021-01-26,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,202302210IPwm
73.0,9924,青山 青山 ,红卫路街八大家花园,2室1厅1厨1卫,中楼层 (共7层),73.56㎡,平层,暂无数据,暂无数据,南,混合结构,简装,暂无数据,暂无数据,暂无数据,2023-10-21,商品房,2003-07-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20231024amSEy
75.0,8141,青山 青山 三至四环,新湘村小区,3室2厅1厨1卫,高楼层 (共7层),92.13㎡,平层,暂无数据,塔楼,南,钢混结构,简装,暂无数据,无,暂无数据,2023-07-14,商品房,2019-12-31,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230718HKM2F
86.0,9167,青山 青山 二至三环,碧苑花园,2室2厅1厨1卫,中楼层 (共17层),93.82㎡,平层,暂无数据,板楼,北,钢混结构,简装,两梯四户,有,暂无数据,2023-06-06,商品房,2015-12-23,普通住宅,满五年,非共有,"
                                有抵押 30万元 公积金 客户偿还
                              ",已上传房本照片,20210724eATfx
156.0,17801,青山 青山 二至三环,大华滨江天地,2室2厅1厨1卫,中楼层 (共33层),87.64㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯五户,有,暂无数据,2021-05-06,商品房,2021-05-06,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20210510VynEA
85.0,8856,青山 青山 三至四环,绿地香树花城,2室2厅1厨1卫,低楼层 (共47层),95.99㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-02-27,商品房,2020-02-02,普通住宅,满两年,非共有,"
                                有抵押 32万元 客户偿还
                              ",已上传房本照片,20200812sUCJf
28.5,4350,青山 青山 ,康达社区,2室1厅1厨1卫,中楼层 (共7层),65.53㎡,平层,57.57㎡,暂无数据,南 北,未知结构,其他,暂无数据,无,暂无数据,2023-02-02,商品房,2010-08-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20220531AU2A9
54.0,7992,青山 青山 三至四环,七星天兴花园,2室1厅1厨1卫,低楼层 (共18层),67.57㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,两梯六户,有,暂无数据,2021-09-10,拆迁还建房,2021-04-28,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20210917A9EcD
132.0,14706,青山 青山 ,东兴天地C区,2室2厅1厨1卫,中楼层 (共31层),89.76㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2023-07-18,拆迁还建房,2020-06-18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230719c4n5L
