总价,单价,地区,名称,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房管局核验码
16.0,2711,新洲 阳逻 三至四环,武汉SOHO,2室1厅1厨1卫,中楼层 (共31层),59.04㎡,平层,暂无数据,板楼,南,钢混结构,简装,四梯二十四户,有,暂无数据,2023-06-28,商品房,2020-07-09,商住两用,满两年,共有,"
                                无抵押
                              ",已上传房本照片,2020011033UcT
33.0,4363,新洲 阳逻 三至四环,佳阳翠湖里,2室2厅1厨1卫,高楼层 (共33层),75.64㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯六户,有,暂无数据,2023-12-12,商品房,2021-08-06,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20231212eXsmR
58.5,5561,新洲 阳逻 三至四环,德雅国际城,3室2厅1厨1卫,低楼层 (共18层),105.2㎡,平层,暂无数据,塔楼,南 北,钢混结构,毛坯,一梯三户,有,暂无数据,2023-09-08,商品房,2019-07-12,普通住宅,满两年,共有,"
                                有抵押 37万元
                              ",已上传房本照片,20230921xywIo
46.0,3706,新洲 阳逻 ,东城明珠,3室2厅1厨2卫,中楼层 (共11层),124.15㎡,平层,101.01㎡,板楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-05-22,商品房,2019-05-09,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20211028cZEyS
59.0,4277,新洲 阳逻 三至四环,兴宸深港国际,3室2厅1厨2卫,中楼层 (共19层),137.97㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,一梯六户,有,暂无数据,2023-11-10,商品房,2020-11-10,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20231110XSsbP
53.0,4881,新洲 阳逻 三至四环,新澳城市印象,3室2厅1厨2卫,高楼层 (共29层),108.6㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,有,暂无数据,2023-04-15,商品房,2016-12-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20200714su59S
77.0,6006,新洲 阳逻 三至四环,德雅国际城,3室2厅1厨2卫,中楼层 (共30层),128.21㎡,平层,暂无数据,塔楼,南,框架结构,毛坯,两梯三户,有,暂无数据,2023-10-27,商品房,2023-11-16,普通住宅,未满两年,非共有,"
                                有抵押 52万元 客户偿还
                              ",已上传房本照片,20231116mrFhe 
48.0,4328,新洲 阳逻 四环外,阳逻万达广场御江,3室2厅1厨2卫,低楼层 (共17层),110.92㎡,平层,91㎡,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-29,商品房,2023-08-29,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20230831btdPY
54.0,5594,新洲 阳逻 三至四环,东原朗阅,3室2厅1厨1卫,低楼层 (共34层),96.54㎡,平层,暂无数据,板楼,东南,钢混结构,其他,三梯六户,有,暂无数据,2023-11-03,商品房,2023-11-03,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,	202311122kncs
12.8,3478,新洲 阳逻 三至四环,武汉SOHO,1室1厅1厨1卫,中楼层 (共31层),36.81㎡,平层,27.3㎡,板楼,南,钢混结构,简装,四梯二十四户,有,暂无数据,2023-11-11,商品房,2018-05-24,商住两用,满五年,共有,"
                                无抵押
                              ",已上传房本照片,202311118lZiT
35.0,3565,新洲 阳逻 ,莱茵城,3室2厅1厨1卫,高楼层 (共18层),98.19㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,两梯六户,有,暂无数据,2023-07-19,商品房,2023-06-21,普通住宅,未满两年,非共有,"
                                有抵押 10万元
                              ",已上传房本照片,20230902tNdru
