总价,单价,地区,名称,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房管局核验码
58.0,6456,沌口开发区 沌口 四环外,实地君兰汀岸,3室1厅1厨1卫,高楼层 (共33层),89.84㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-20,商品房,2020-11-11,普通住宅,满两年,非共有,"
                                有抵押 30万元 邮政 客户偿还
                              ",已上传房本照片,20220110BKM6T
88.0,9983,沌口开发区 沌口 三至四环,观澜御苑,3室2厅1厨1卫,低楼层 (共32层),88.15㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2022-05-26,商品房,2014-05-09,普通住宅,满五年,非共有,"
                                有抵押 30万元 公积金 客户偿还
                              ",已上传房本照片,20200507lAdKY
59.8,6657,沌口开发区 沌口 四环外,实地君兰汀岸,3室2厅1厨1卫,中楼层 (共33层),89.84㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-08-27,商品房,2020-08-20,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,20230827QCv7E
130.0,11567,沌口开发区 沌口 三至四环,观澜高尔夫公馆,3室2厅1厨2卫,高楼层 (共34层),112.39㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-09-26,商品房,2017-09-08,普通住宅,满五年,共有,"
                                有抵押 50万元
                              ",已上传房本照片,20220929gbiKd	
86.0,7458,沌口开发区 沌口 ,枫桦苇岸,3室1厅1厨2卫,低楼层 (共33层),115.32㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-11-14,限价商品房,2018-03-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230907GtCRi
60.0,5243,沌口开发区 沌口 ,滨湖社区,4室2厅1厨2卫,高楼层 (共6层),114.44㎡,平层,暂无数据,塔楼,东 东南,钢混结构,简装,暂无数据,无,暂无数据,2021-04-30,商品房,2009-09-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,	20240118Y2Sxq
96.0,10000,沌口开发区 沌口 ,观澜御苑学苑,3室2厅1厨1卫,高楼层 (共28层),96㎡,平层,73.33㎡,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2023-10-07,商品房,2012-09-25,普通住宅,满五年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片,20210921aZWCH
20.0,4429,沌口开发区 沌口 ,中环湖畔,1室0厅1厨1卫,低楼层 (共25层),45.16㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯二十五户,有,暂无数据,2022-02-11,商品房,2019-06-03,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,202104097Dc0s
52.0,5666,沌口开发区 沌口 ,临江花园二期,2室2厅1厨1卫,高楼层 (共6层),91.79㎡,平层,暂无数据,板塔结合,南 北,混合结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-26,商品房,2019-04-19,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,202207035egj2
125.0,12858,沌口开发区 沌口 二至三环,海伦春天一期,3室2厅1厨2卫,低楼层 (共30层),97.22㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2023-04-15,商品房,2019-11-12,普通住宅,满两年,非共有,"
                                有抵押 29万元 公积金 业主自还
                              ",已上传房本照片,202005249ZGeA
